id,name,location,state,pincode,manager_name,contact_number,created_at,updated_at
1,Reliance Fresh,Mumbai,Bihar,759557,Nathan Chhabra,+91-7608637542,2025-11-02 19:47:35.587360,2025-11-02 19:47:35.587363
2,Big Bazaar,Delhi,Nagaland,190704,Ubika Varghese,+91-9421126067,2025-11-02 19:47:35.587426,2025-11-02 19:47:35.587427
3,DMart,Bengaluru,Gujarat,462491,Zashil Mitter,+91-6787846414,2025-11-02 19:47:35.587478,2025-11-02 19:47:35.587479
4,More Supermarket,Hyderabad,Meghalaya,040613,Upma Bajaj,+91-9143890026,2025-11-02 19:47:35.587528,2025-11-02 19:47:35.587529
5,Spencer’s Retail,Chennai,Gujarat,438208,Garima Cheema,+91-9348747335,2025-11-02 19:47:35.587577,2025-11-02 19:47:35.587578
6,Star Bazaar,Kolkata,Uttarakhand,784417,Jasmit Goyal,+91-8571218620,2025-11-02 19:47:35.587627,2025-11-02 19:47:35.587627
7,HyperCity,Pune,Punjab,074811,Manya Sama,+91-8563451924,2025-11-02 19:47:35.587673,2025-11-02 19:47:35.587674
8,Easyday Club,Ahmedabad,Tamil Nadu,347077,Naveen Prakash,+91-6670094950,2025-11-02 19:47:35.589782,2025-11-02 19:47:35.589784
9,Vishal Mega Mart,Lucknow,West Bengal,101946,Devansh Biswas,+91-7914837113,2025-11-02 19:47:35.589833,2025-11-02 19:47:35.589833
10,Smart Bazaar,Jaipur,Uttar Pradesh,189893,Niharika Seshadri,+91-6669991378,2025-11-02 19:47:35.589893,2025-11-02 19:47:35.589894
11,Nature’s Basket,Coimbatore,Jharkhand,877875,Garima Parmar,+91-6429389014,2025-11-02 19:47:35.589942,2025-11-02 19:47:35.589943
12,Foodworld,Chandigarh,Telangana,392828,Damyanti Shukla,+91-6249467210,2025-11-02 19:47:35.589989,2025-11-02 19:47:35.589990
13,Nilgiris,Bhubaneswar,Jharkhand,707748,Jason Kamdar,+91-7972458954,2025-11-02 19:47:35.590033,2025-11-02 19:47:35.590034
14,Trent Hyper,Indore,Karnataka,550276,Jai Sachdev,+91-9720198231,2025-11-02 19:47:35.590076,2025-11-02 19:47:35.590077
15,Metro Cash & Carry,Visakhapatnam,Uttar Pradesh,638067,Azad Vaidya,+91-7433267572,2025-11-02 19:47:35.590127,2025-11-02 19:47:35.590128
